日期,d收盘价,d开盘价,d最高价,d最低价,d成交量,d涨跌幅
2010年1月4日,77.53,77.92,78.19,77.26,-,-0.42%
2010年1月5日,77.62,77.37,77.71,77.09,-,0.12%
2010年1月6日,77.49,77.65,78,77.36,-,-0.17%
2010年1月7日,77.91,77.37,78.08,77.3,-,0.54%
2010年1月8日,77.47,77.98,78.19,77.35,-,-0.56%
2010年1月11日,77,77.21,77.23,76.79,-,-0.61%
2010年1月12日,76.95,77.09,77.31,76.76,-,-0.06%
2010年1月13日,76.85,77.12,77.16,76.6,-,-0.13%
2010年1月14日,76.73,76.79,77.02,76.67,-,-0.16%
2010年1月15日,77.32,76.78,77.41,76.76,-,0.77%
2010年1月18日,77.06,77.36,77.39,77.04,-,-0.34%
2010年1月19日,77.5,76.98,77.69,76.94,-,0.57%
2010年1月20日,78.34,77.58,78.45,77.51,-,1.08%
2010年1月21日,78.32,78.27,78.81,78.13,-,-0.03%
2010年1月22日,78.28,78.39,78.53,78.04,-,-0.05%
2010年1月25日,78.19,78.23,78.34,78.03,-,-0.11%
2010年1月26日,78.43,78.17,78.64,78.08,-,0.31%
2010年1月27日,78.67,78.55,78.85,78.37,-,0.31%
2010年1月28日,78.9,78.66,79.07,78.54,-,0.29%
2010年1月29日,79.46,78.99,79.5,78.85,-,0.71%
2010年2月1日,79.24,79.46,79.53,79.16,-,-0.28%
2010年2月2日,79.01,79.23,79.41,78.97,-,-0.29%
2010年2月3日,79.37,78.98,79.46,78.68,-,0.46%
2010年2月4日,79.92,79.35,80.02,79.34,-,0.69%
2010年2月5日,80.44,79.98,80.68,79.94,-,0.65%
2010年2月8日,80.3,80.35,80.52,80.09,-,-0.17%
2010年2月9日,79.86,80.34,80.43,79.56,-,-0.55%
2010年2月10日,80.03,79.81,80.31,79.66,-,0.21%
2010年2月11日,79.99,79.94,80.5,79.71,-,-0.05%
2010年2月12日,80.32,80.02,80.75,79.99,-,0.41%
2010年2月15日,80.33,80.36,80.52,80.2,-,0.01%
2010年2月16日,79.7,80.39,80.42,79.59,-,-0.78%
2010年2月17日,80.38,79.64,80.53,79.56,-,0.85%
2010年2月18日,80.4,80.45,81.25,80.19,-,0.02%
2010年2月19日,80.64,81.25,81.34,80.51,-,0.30%
2010年2月22日,80.51,80.43,80.67,80.36,-,-0.16%
2010年2月23日,80.85,80.51,80.99,80.09,-,0.42%
2010年2月24日,80.85,80.89,80.94,80.36,-,0.00%
2010年2月25日,80.79,80.78,81.13,80.66,-,-0.07%
2010年2月26日,80.36,80.77,80.85,80.12,-,-0.53%
2010年3月1日,80.66,80.42,81.26,80.29,-,0.37%
2010年3月2日,80.52,80.76,81.29,80.38,-,-0.17%
2010年3月3日,79.98,80.35,80.56,79.82,-,-0.67%
2010年3月4日,80.56,80.05,80.67,79.94,-,0.73%
2010年3月5日,80.43,80.53,80.89,80.4,-,-0.16%
2010年3月8日,80.43,80.42,80.55,80.08,-,0.00%
2010年3月9日,80.59,80.51,80.86,80.41,-,0.20%
2010年3月10日,80.44,80.55,80.86,80.31,-,-0.19%
2010年3月11日,80.32,80.46,80.57,80.24,-,-0.15%
2010年3月12日,79.83,80.27,80.33,79.69,-,-0.61%
2010年3月15日,80.25,79.78,80.41,79.78,-,0.53%
2010年3月16日,79.75,80.22,80.33,79.63,-,-0.62%
2010年3月17日,79.64,79.71,79.83,79.51,-,-0.14%
2010年3月18日,80.22,79.75,80.44,79.73,-,0.73%
2010年3月19日,80.72,80.29,80.89,80.23,-,0.62%
2010年3月22日,80.65,80.85,81.08,80.52,-,-0.09%
2010年3月23日,80.9,80.57,81.03,80.55,-,0.31%
2010年3月24日,81.84,80.94,82.03,80.89,-,1.16%
2010年3月25日,82.12,81.85,82.24,81.6,-,0.34%
2010年3月26日,81.68,82.02,82.05,81.56,-,-0.54%
2010年3月29日,81.36,81.46,81.62,81.16,-,-0.39%
2010年3月30日,81.47,81.25,81.56,81,-,0.14%
2010年3月31日,81.07,81.46,81.7,80.89,-,-0.49%
2010年4月1日,80.78,81.04,81.25,80.68,-,-0.36%
2010年4月2日,81.29,80.7,81.32,80.69,-,0.63%
2010年4月5日,81.09,81.19,81.3,80.92,-,-0.25%
2010年4月6日,81.39,81.07,81.64,81.04,-,0.37%
2010年4月7日,81.44,81.32,81.72,81.31,-,0.06%
2010年4月8日,81.53,81.64,81.91,81.45,-,0.11%
2010年4月9日,81.09,81.49,81.58,80.87,-,-0.54%
2010年4月12日,80.56,80.39,80.69,80.08,-,-0.65%
2010年4月13日,80.51,80.55,80.75,80.27,-,-0.06%
2010年4月14日,80.19,80.42,80.49,80.03,-,-0.40%
2010年4月15日,80.48,80.19,80.75,80.15,-,0.36%
2010年4月16日,80.82,80.52,80.91,80.47,-,0.42%
2010年4月19日,81,80.96,81.28,80.91,-,0.22%
2010年4月20日,81.05,80.92,81.13,80.76,-,0.06%
2010年4月21日,81.16,81.12,81.33,80.96,-,0.14%
2010年4月22日,81.57,81.23,81.78,81.04,-,0.51%
2010年4月23日,81.35,82.02,82.07,81.32,-,-0.27%
2010年4月26日,81.48,81.47,81.71,81.17,-,0.16%
2010年4月27日,82.15,81.18,82.44,81.17,-,0.82%
2010年4月28日,82.38,82.29,82.71,82.02,-,0.28%
2010年4月29日,82,82.27,82.38,81.88,-,-0.46%
2010年4月30日,81.87,81.9,82.09,81.63,-,-0.16%
2010年5月3日,82.27,81.84,82.56,81.83,-,0.49%
2010年5月4日,83.3,82.36,83.53,82.29,-,1.25%
2010年5月5日,84.08,83.45,84.31,83.36,-,0.94%
2010年5月6日,84.89,84.16,85.27,83.92,-,0.96%
2010年5月7日,84.45,84.88,85.14,84.32,-,-0.52%
2010年5月10日,84.16,83.62,84.38,82.91,-,-0.34%
2010年5月11日,84.47,84.39,84.78,84.14,-,0.37%
2010年5月12日,84.83,84.71,84.93,84.2,-,0.43%
2010年5月13日,85.21,84.8,85.46,84.55,-,0.45%
2010年5月14日,86.09,85.36,86.29,85.2,-,1.03%
2010年5月17日,86.2,86.31,87.06,86.05,-,0.13%
2010年5月18日,87.16,86.22,87.38,85.91,-,1.11%
2010年5月19日,86.39,87.26,87.46,86.06,-,-0.88%
2010年5月20日,85.56,86.29,86.8,85.4,-,-0.96%
2010年5月21日,85.37,85.9,85.98,85.13,-,-0.22%
2010年5月24日,86.21,85.76,86.57,85.62,-,0.98%
2010年5月25日,86.78,86.47,87.45,86.33,-,0.66%
2010年5月26日,87.12,86.53,87.39,86.5,-,0.39%
2010年5月27日,86.19,87.3,87.31,86.1,-,-1.07%
2010年5月28日,86.48,86.35,86.8,85.85,-,0.34%
2010年5月31日,86.59,86.73,86.73,86.43,-,0.13%
2010年6月1日,86.64,86.58,87.47,86.16,-,0.06%
2010年6月2日,86.79,86.68,87.18,86.62,-,0.17%
2010年6月3日,87.14,86.82,87.27,86.3,-,0.40%
2010年6月4日,88.23,87.22,88.34,86.9,-,1.25%
2010年6月7日,88.41,88.41,88.71,88.16,-,0.20%
2010年6月8日,88.39,88.45,88.59,87.96,-,-0.02%
2010年6月9日,87.9,88.14,88.39,87.41,-,-0.55%
2010年6月10日,87.17,87.9,88.06,86.95,-,-0.83%
2010年6月11日,87.51,87.1,87.65,86.94,-,0.39%
2010年6月14日,86.51,86.8,87.02,86.18,-,-1.14%
2010年6月15日,85.98,86.71,86.89,85.91,-,-0.61%
2010年6月16日,86.08,86.09,86.39,85.92,-,0.12%
2010年6月17日,85.69,86.15,86.53,85.52,-,-0.45%
2010年6月18日,85.7,85.7,85.77,85.45,-,0.01%
2010年6月21日,85.93,85.25,86.04,85.09,-,0.27%
2010年6月22日,86.11,85.94,86.26,85.75,-,0.21%
2010年6月23日,85.74,86.06,86.42,85.65,-,-0.43%
2010年6月24日,85.73,85.8,86,85.41,-,-0.01%
2010年6月25日,85.31,85.73,86.12,85.25,-,-0.49%
2010年6月28日,85.65,85.29,85.79,85.22,-,0.40%
2010年6月29日,86.03,85.71,86.3,85.63,-,0.44%
2010年6月30日,86.02,86.13,86.27,85.6,-,-0.01%
2010年7月1日,84.72,86.1,86.26,84.42,-,-1.51%
2010年7月2日,84.43,84.61,84.77,84.13,-,-0.34%
2010年7月5日,84.61,84.4,84.72,84.39,-,0.21%
2010年7月6日,84.08,84.59,84.83,83.83,-,-0.63%
2010年7月7日,83.82,84.11,84.38,83.75,-,-0.31%
2010年7月8日,83.82,83.96,84.02,83.66,-,0.00%
2010年7月9日,83.95,83.77,84.11,83.62,-,0.16%
2010年7月12日,84.2,83.98,84.45,83.95,-,0.30%
2010年7月13日,83.64,84.23,84.56,83.38,-,-0.67%
2010年7月14日,83.43,83.58,83.7,83.2,-,-0.25%
2010年7月15日,82.56,83.37,83.51,82.28,-,-1.04%
2010年7月16日,82.49,82.42,82.61,82.08,-,-0.08%
2010年7月19日,82.51,82.72,82.81,82.28,-,0.02%
2010年7月20日,82.75,82.61,83.07,82.18,-,0.29%
2010年7月21日,83.39,82.71,83.45,82.56,-,0.77%
2010年7月22日,82.59,83.25,83.36,82.46,-,-0.96%
2010年7月23日,82.46,82.58,83.03,82.21,-,-0.16%
2010年7月26日,82.09,82.62,82.63,81.99,-,-0.45%
2010年7月27日,82.19,82.05,82.38,81.82,-,0.12%
2010年7月28日,82.18,82.16,82.29,81.94,-,-0.01%
2010年7月29日,81.64,82.1,82.16,81.49,-,-0.66%
2010年7月30日,81.54,81.61,81.98,81.46,-,-0.12%
2010年8月2日,80.94,81.5,81.55,80.79,-,-0.74%
2010年8月3日,80.6,80.91,81.04,80.47,-,-0.42%
2010年8月4日,80.89,80.62,81.11,80.51,-,0.36%
2010年8月5日,80.83,80.97,81.13,80.53,-,-0.07%
2010年8月6日,80.41,80.78,80.94,80.08,-,-0.52%
2010年8月9日,80.71,80.32,80.74,80.27,-,0.37%
2010年8月10日,80.8,80.74,81.53,80.64,-,0.11%
