日期,r收盘,r开盘,r高,r低,r涨跌幅
2010年1月4日,6.8285,6.8297,6.8297,6.827,0.02%
2010年1月5日,6.8268,6.8283,6.8288,6.8257,-0.02%
2010年1月6日,6.8278,6.8277,6.8291,6.8267,0.01%
2010年1月7日,6.8281,6.8269,6.8282,6.8258,0.00%
2010年1月8日,6.8276,6.8278,6.8285,6.826,-0.01%
2010年1月11日,6.8263,6.8269,6.8285,6.8251,-0.02%
2010年1月12日,6.827,6.8236,6.8276,6.8236,0.01%
2010年1月13日,6.8298,6.8273,6.8298,6.8254,0.04%
2010年1月14日,6.827,6.8273,6.8279,6.8259,-0.04%
2010年1月15日,6.827,6.8274,6.8274,6.8255,0.00%
2010年1月18日,6.8268,6.8277,6.8285,6.8261,0.00%
2010年1月19日,6.8278,6.828,6.8288,6.8265,0.01%
2010年1月20日,6.827,6.8274,6.8289,6.8266,-0.01%
2010年1月21日,6.8269,6.8271,6.8274,6.8258,0.00%
2010年1月22日,6.827,6.8267,6.827,6.8255,0.00%
2010年1月25日,6.8269,6.827,6.827,6.8258,0.00%
2010年1月26日,6.8266,6.8274,6.8275,6.8264,0.00%
2010年1月27日,6.8278,6.8271,6.828,6.827,0.02%
2010年1月28日,6.8269,6.8262,6.827,6.826,-0.01%
2010年1月29日,6.8269,6.827,6.827,6.826,0.00%
2010年2月1日,6.827,6.8271,6.8285,6.827,0.00%
2010年2月2日,6.8271,6.8266,6.8276,6.8241,0.00%
2010年2月3日,6.827,6.8275,6.8282,6.8248,0.00%
2010年2月4日,6.8285,6.8265,6.8285,6.8245,0.02%
2010年2月5日,6.8285,6.8279,6.829,6.826,0.00%
2010年2月8日,6.8266,6.8267,6.8274,6.8258,-0.03%
2010年2月9日,6.8268,6.8258,6.827,6.8258,0.00%
2010年2月10日,6.8285,6.8272,6.833,6.8261,0.02%
2010年2月11日,6.8338,6.8312,6.8356,6.823,0.08%
2010年2月12日,6.8334,6.8354,6.8354,6.8296,-0.01%
2010年2月15日,6.8334,6.8334,6.8334,6.8334,0.00%
2010年2月16日,6.8334,6.8334,6.8334,6.8334,0.00%
2010年2月17日,6.8334,6.8334,6.8334,6.8334,0.00%
2010年2月18日,6.8331,6.8331,6.8331,6.8331,0.00%
2010年2月19日,6.8291,6.83,6.83,6.8291,-0.06%
2010年2月22日,6.8274,6.8305,6.8315,6.8265,-0.02%
2010年2月23日,6.8277,6.8274,6.833,6.8265,0.00%
2010年2月24日,6.827,6.8267,6.8275,6.826,-0.01%
2010年2月25日,6.8268,6.8263,6.8275,6.826,0.00%
2010年2月26日,6.8261,6.827,6.8275,6.8255,-0.01%
2010年3月1日,6.8264,6.8254,6.8269,6.8254,0.00%
2010年3月2日,6.8266,6.8264,6.8305,6.8256,0.00%
2010年3月3日,6.8258,6.8266,6.8285,6.8251,-0.01%
2010年3月4日,6.8263,6.8263,6.8274,6.8256,0.01%
2010年3月5日,6.8265,6.8262,6.8274,6.826,0.00%
2010年3月8日,6.8263,6.8261,6.8269,6.8255,0.00%
2010年3月9日,6.8263,6.8264,6.8278,6.8255,0.00%
2010年3月10日,6.8259,6.8263,6.8264,6.8254,-0.01%
2010年3月11日,6.8276,6.8263,6.8283,6.826,0.02%
2010年3月12日,6.8256,6.8261,6.827,6.8249,-0.03%
2010年3月15日,6.8261,6.8249,6.8267,6.8249,0.01%
2010年3月16日,6.826,6.8262,6.8269,6.8255,0.00%
2010年3月17日,6.826,6.826,6.8265,6.8251,0.00%
2010年3月18日,6.8262,6.8261,6.827,6.8255,0.00%
2010年3月19日,6.8266,6.8254,6.8266,6.8254,0.01%
2010年3月22日,6.8266,6.8254,6.8274,6.8254,0.00%
2010年3月23日,6.8263,6.8266,6.8267,6.8258,0.00%
2010年3月24日,6.8266,6.8258,6.8275,6.8258,0.00%
2010年3月25日,6.8271,6.8262,6.8277,6.826,0.01%
2010年3月26日,6.827,6.8272,6.8292,6.8259,0.00%
2010年3月29日,6.8264,6.8263,6.8283,6.8255,-0.01%
2010年3月30日,6.8258,6.8258,6.827,6.8251,-0.01%
2010年3月31日,6.8259,6.8251,6.8265,6.8251,0.00%
2010年4月1日,6.8264,6.8253,6.8276,6.8252,0.01%
2010年4月2日,6.8256,6.8256,6.8268,6.825,-0.01%
2010年4月5日,6.8256,6.825,6.8256,6.825,0.00%
2010年4月6日,6.8255,6.8254,6.8268,6.8254,0.00%
2010年4月7日,6.8255,6.8256,6.8263,6.8245,0.00%
2010年4月8日,6.8241,6.8249,6.8264,6.8232,-0.02%
2010年4月9日,6.8234,6.824,6.826,6.823,-0.01%
2010年4月12日,6.8257,6.823,6.8263,6.823,0.03%
2010年4月13日,6.8256,6.8262,6.8271,6.825,0.00%
2010年4月14日,6.8258,6.825,6.8266,6.8245,0.00%
2010年4月15日,6.8261,6.8254,6.8263,6.825,0.00%
2010年4月16日,6.8255,6.8255,6.8264,6.8249,-0.01%
2010年4月19日,6.8262,6.8247,6.8274,6.8247,0.01%
2010年4月20日,6.8254,6.8254,6.8266,6.8249,-0.01%
2010年4月21日,6.8276,6.8248,6.8278,6.8248,0.03%
2010年4月22日,6.8264,6.8256,6.8276,6.8251,-0.02%
2010年4月23日,6.8275,6.8268,6.8305,6.8255,0.02%
2010年4月26日,6.8267,6.8261,6.8278,6.8251,-0.01%
2010年4月27日,6.8257,6.8258,6.8278,6.8248,-0.01%
2010年4月28日,6.825,6.8253,6.8276,6.825,-0.01%
2010年4月29日,6.8259,6.8245,6.8262,6.8245,0.01%
2010年4月30日,6.8252,6.8258,6.8268,6.825,-0.01%
2010年5月3日,6.825,6.825,6.825,6.825,0.00%
2010年5月4日,6.8265,6.825,6.8273,6.824,0.02%
2010年5月5日,6.8263,6.8258,6.827,6.8255,0.00%
2010年5月6日,6.8266,6.8258,6.827,6.8254,0.00%
2010年5月7日,6.8257,6.826,6.8281,6.8253,-0.01%
2010年5月10日,6.8266,6.8253,6.8269,6.8253,0.01%
2010年5月11日,6.829,6.8262,6.8296,6.826,0.04%
2010年5月12日,6.8277,6.8278,6.8296,6.8262,-0.02%
2010年5月13日,6.8279,6.8275,6.8285,6.8262,0.00%
2010年5月14日,6.8268,6.8278,6.8283,6.826,-0.02%
2010年5月17日,6.8277,6.8262,6.8286,6.8262,0.01%
2010年5月18日,6.8274,6.8269,6.8281,6.8259,0.00%
2010年5月19日,6.8274,6.827,6.8286,6.8265,0.00%
2010年5月20日,6.8278,6.8269,6.828,6.8264,0.01%
2010年5月21日,6.8262,6.827,6.8278,6.8262,-0.02%
2010年5月24日,6.8287,6.8271,6.8287,6.8261,0.04%
2010年5月25日,6.8313,6.8277,6.8324,6.8272,0.04%
2010年5月26日,6.8293,6.8286,6.8316,6.8277,-0.03%
2010年5月27日,6.8296,6.829,6.8316,6.8275,0.00%
2010年5月28日,6.8308,6.8298,6.8317,6.8277,0.02%
2010年5月31日,6.8278,6.8296,6.8312,6.826,-0.04%
2010年6月1日,6.8287,6.8283,6.832,6.8272,0.01%
2010年6月2日,6.8298,6.8303,6.8303,6.8298,0.02%
2010年6月3日,6.8284,6.8284,6.8321,6.8274,-0.02%
2010年6月4日,6.8287,6.8276,6.8301,6.8261,0.00%
2010年6月7日,6.8323,6.8281,6.8323,6.8276,0.05%
2010年6月8日,6.8294,6.83,6.8323,6.8279,-0.04%
